concept,doculect,counterpart,cogid,lpID
I,North Mansi,am,82,2
I,Middle Lozva Mansi,æm,82,2
I,Lower Lozva Mansi,am,82,2
I,Pelymka Mansi,ɔm,82,2
I,Konda Mansi,ɔm,82,2
I,Tavda Mansi,æm,82,2
I,Vakh Khanty,mæː,82,1
I,Vasjugan Khanty,mæː,82,1
I,Tremjugan Khanty,mæː,82,1
I,Jugan Khanty,mæː,82,1
I,Upper Demjanka Khanty,mæːn,82,1
I,Konda Khanty,mæn,82,1
I,Nizjam Khanty,maː,82,1
I,Sherkaly Khanty,maː,82,1
I,Kazym Khanty,maː,82,1
I,Synja Khanty,maː,82,1
I,Obdorsk Khanty,mæː,82,1
all,North Mansi,pusən,1,6
all,Middle Lozva Mansi,puʃn,1,6
all,Lower Lozva Mansi,ʃaq,2,5
all,Pelymka Mansi,ʃoq,2,5
all,Konda Mansi,soq,2,5
all,Tavda Mansi,ʃɔχ,2,5
all,Vakh Khanty,ejnæːm,3,3
all,Verkhne-Kalymsk Khanty,ejnæːm,3,3
all,Vartovskoje Khanty,ejnæːm,3,3
all,Likrisovskoje Khanty,ejnæːm,3,3
all,Malyj Jugan Khanty,ejnæːm,3,3
all,Tremjugan Khanty,ejnæːm,3,3
all,Jugan Khanty,ejnæːm,3,3
all,Upper Demjanka Khanty,χarnaː,4,8
all,Konda Khanty,pertæː,5,7
all,Nizjam Khanty,isaχaːt,6,4
all,Sherkaly Khanty,isaːt,6,4
all,Kazym Khanty,isaː,6,4
all,Synja Khanty,isaː,6,4
ashes,North Mansi,χuʎəm,8,9
ashes,Middle Lozva Mansi,quʎəm,8,9
ashes,Lower Lozva Mansi,quʎəm,8,9
ashes,Konda Mansi,quʎəm,8,9
ashes,Tavda Mansi,qoːʎəm,8,9
ashes,Vakh Khanty,pæːr,9,10
ashes,Vasjugan Khanty,pæːr,9,10
ashes,Tremjugan Khanty,næːjpæːr,9,10
ashes,Jugan Khanty,næːjpæːr,9,10
ashes,Upper Demjanka Khanty,χoːjəm,8,9
ashes,Konda Khanty,χoːjəm,8,9
ashes,Nizjam Khanty,χɔːjəm,8,9
ashes,Sherkaly Khanty,χɔːjəm,8,9
ashes,Kazym Khanty,raːtχiʃ,7,11
ashes,Obdorsk Khanty,ræːtχis,7,11
bark,Vakh Khanty,kæːr,11,12
bark,Verkhne-Kalymsk Khanty,kæːr,11,12
bark,Vasjugan Khanty,kæːr,11,12
bark,Likrisovskoje Khanty,kæːr,11,12
bark,Malyj Jugan Khanty,kæːr,11,12
bark,Tremjugan Khanty,kæːr,11,12
bark,Jugan Khanty,kæːr,11,12
bark,Upper Demjanka Khanty,kæːr,11,12
bark,Konda Khanty,kæːr,11,12
bark,Nizjam Khanty,kaːr,11,12
bark,Kazym Khanty,kaːr,11,12
bark,Obdorsk Khanty,kæːr,11,12
belly,North Mansi,sorɨɣ,12,14
belly,Middle Lozva Mansi,sɔr,12,14
belly,Pelymka Mansi,sori,12,14
belly,Vakh Khanty,koɳ,13,13
belly,Verkhne-Kalymsk Khanty,koɳ,13,13
belly,Vasjugan Khanty,koɳ,13,13
belly,Vartovskoje Khanty,koɳ,13,13
belly,Likrisovskoje Khanty,koɳ,13,13
belly,Malyj Jugan Khanty,kon,13,13
belly,Tremjugan Khanty,koɳ,13,13
belly,Jugan Khanty,kon,13,13
belly,Upper Demjanka Khanty,poːrəχ,14,15
belly,Konda Khanty,χon,13,13
belly,Nizjam Khanty,χon,13,13
belly,Sherkaly Khanty,χon,13,13
belly,Kazym Khanty,χoɳ,13,13
belly,Synja Khanty,χoɳ,13,13
belly,Obdorsk Khanty,χon,13,13
big,North Mansi,jænɨɣ,15,16
big,Middle Lozva Mansi,jæni,15,16
big,Lower Lozva Mansi,jæni,15,16
big,Pelymka Mansi,jæni,15,16
big,Konda Mansi,jæni,15,16
big,Tavda Mansi,jænu,15,16
big,Vakh Khanty,eɭɭə,15,17
big,Verkhne-Kalymsk Khanty,eɭə,15,17
big,Vasjugan Khanty,eɭɭə,15,17
big,Vartovskoje Khanty,eɭə,15,17
big,Likrisovskoje Khanty,eɭə,15,17
big,Malyj Jugan Khanty,enɬ,15,16
big,Tremjugan Khanty,enɬ,15,16
big,Jugan Khanty,entɬ,15,19
big,Upper Demjanka Khanty,eːnə,15,16
big,Konda Khanty,eːnə,15,16
big,Nizjam Khanty,uːnə,16,16
big,Sherkaly Khanty,uːnə,16,16
big,Kazym Khanty,wɵːn,16,18
big,Synja Khanty,uːn,16,18
bird,North Mansi,tɔwləŋuj,17,20
bird,Middle Lozva Mansi,tɔuləŋuj,17,20
bird,Lower Lozva Mansi,uj,17,22
bird,Pelymka Mansi,wuj,17,21
bird,Konda Mansi,wuj,17,21
bird,Tavda Mansi,sosqol,18,23
bird,Vakh Khanty,waːjəɣ,17,20
bird,Vasjugan Khanty,waːjəɣ,17,20
bird,Tremjugan Khanty,toɣɬəŋwɔːjəɣ,17,20
